"","TAIR_ID","Entrez_ID","Name","CommonName","logFC","FDR"
"AT2G36145","AT2G36145",818187,"AT2G36145","uncharacterized",1.14650487717253,0.0215832690492121
"AT5G12330","AT5G12330",831108,"LRP1","Lateral",-1.21155870838063,0.0215832690492121
"AT2G25810","AT2G25810",817123,"TIP4;1","tonoplast",2.99981059131256,0.0215832690492121
"AT2G24762","AT2G24762",817013,"GDU4","glutamine",-1.19900667226876,0.0215832690492121
"AT5G14940","AT5G14940",831346,"AT5G14940","Major",-1.26282221922695,0.0215836431739685
"AT1G75900","AT1G75900",843923,"AT1G75900","GDSL-like",1.07987142100497,0.0215836431739685
"AT2G38600","AT2G38600",818442,"AT2G38600","HAD",-1.33443178133819,0.0215836431739685
"AT3G25190","AT3G25190",822112,"AT3G25190","Vacuolar",-1.35706989723442,0.0216101163154559
"AT3G04650","AT3G04650",819623,"AT3G04650","FAD/NAD(P)-binding",1.03970645959007,0.0223252956291602
"AT4G17800","AT4G17800",827502,"AT4G17800","Putative",-1.6220400792689,0.0223252956291602
"AT2G38110","AT2G38110",818389,"GPAT6","glycerol-3-phosphate",1.59265667137528,0.0223252956291602
"AT1G62360","AT1G62360",842534,"STM","KNOX/ELK",-1.22144122610819,0.0223252956291602
"AT1G10682","AT1G10682",6241126,"AT1G10682","ncRNA(AT1G10682)",-1.21911797166551,0.0223252956291602
"AT1G77120","AT1G77120",844047,"ADH1","alcohol",-1.08947845850264,0.0223252956291602
"AT1G13600","AT1G13600",837921,"bZIP58","basic",-1.26798056740222,0.0224354851414949
"AT1G34245","AT1G34245",840324,"EPF2","Putative",1.28719744666209,0.0224354851414949
"AT5G63590","AT5G63590",836478,"FLS3","flavonol",1.72273772195042,0.0224649087641047
"AT1G68725","AT1G68725",843203,"AGP19","arabinogalactan",1.58188186657995,0.0224649087641047
"AT1G67860","AT1G67860",843113,"AT1G67860","uncharacterized",-1.25946099307216,0.0225138090919872
"AT1G49320","AT1G49320",841355,"USPL1","unknown",-1.29561737592718,0.0229985121701454
"AT2G39920","AT2G39920",818579,"AT2G39920","HAD",1.14714000311909,0.023008402735961
"AT1G28230","AT1G28230",839717,"PUP1","purine",2.13094404785383,0.023008402735961
"AT4G36060","AT4G36060",829762,"bHLH11","basic",-1.13832752213468,0.0231451948669119
"AT5G28500","AT5G28500",832943,"AT5G28500","rubisco",1.0782795425551,0.0231858036033543
"AT5G14330","AT5G14330",831283,"AT5G14330","uncharacterized",1.7590922527971,0.0232691498727152
"AT1G66460","AT1G66460",842964,"AT1G66460","Protein",2.87775761061785,0.0232691498727152
"AT3G28560","AT3G28560",822486,"AT3G28560","BCS1",-1.68570497514255,0.0233933471925219
"AT2G04160","AT2G04160",814953,"AIR3","Subtilisin-like",3.65785502998534,0.0233933471925219
"AT3G47250","AT3G47250",823878,"AT3G47250","transmembrane",1.12029759055417,0.0233933471925219
"AT4G04410.1","AT4G04410.1",NA,NA,NA,-1.32710882543741,0.0233933471925219
"AT4G34250","AT4G34250",829574,"KCS16","3-ketoacyl-CoA",1.57213392576387,0.0233933471925219
"AT1G14240","AT1G14240",837985,"AT1G14240","GDA1/CD39",-1.04926792417256,0.0233933471925219
"AT1G25450","AT1G25450",839131,"KCS5","3-ketoacyl-CoA",1.28398576593317,0.0234230438715882
"AT1G69200","AT1G69200",843251,"FLN2","fructokinase-like",1.00030421107508,0.0236726983501827
"AT5G50120","AT5G50120",835077,"AT5G50120","Transducin/WD40",-1.20949270356588,0.0236726983501827
"AT1G28010","AT1G28010",839694,"ABCB14","P-glycoprotein",1.29764507216237,0.0238116188037793
"AT5G03310","AT5G03310",831879,"AT5G03310","SAUR-like",-1.67986216104379,0.0238116188037793
"AT2G47750","AT2G47750",819387,"GH3.9","putative",-1.01204291478314,0.0238116188037793
"AT1G67090","AT1G67090",843029,"RBCS1A","ribulose",1.07380594659113,0.0238116188037793
"AT5G26000","AT5G26000",832669,"TGG1","thioglucoside",1.5623806903814,0.0238116188037793
"AT1G24575","AT1G24575",839072,"AT1G24575","DEAD-box",-1.29081707239769,0.0239122914963356
"AT4G38970","AT4G38970",830052,"FBA2","fructose-bisphosphate",1.01908298141059,0.0239122914963356
"AT5G44260","AT5G44260",834449,"AT5G44260","Zinc",4.96567825087701,0.024001405204909
"AT3G10340","AT3G10340",820196,"PAL4","phenylalanine",1.73300261926337,0.024004332293787
"AT1G06100","AT1G06100",837119,"AT1G06100","Fatty",1.46009562642148,0.0240221004162856
"AT1G16360","AT1G16360",838205,"AT1G16360","LEM3",-1.45934722176266,0.0241398752774844
"AT5G02120","AT5G02120",831799,"OHP","one",1.00912382085222,0.0241398752774844
"AT5G56300","AT5G56300",835729,"GAMT2","gibberellic",-1.9319906691533,0.0241398752774844
"AT3G14060","AT3G14060",820620,"AT3G14060","uncharacterized",-1.28152595972664,0.0241398752774844
"AT5G56100","AT5G56100",835709,"AT5G56100","glycine-rich",2.04704226801142,0.0243128290677551
"AT5G53660","AT5G53660",835447,"GRF7","growth-regulating",-1.18691821109214,0.0243772249412193
"AT1G68800","AT1G68800",843212,"TCP12","TCP",-1.26278867702867,0.0243772249412193
"AT1G63710","AT1G63710",842675,"CYP86A7","cytochrome",1.92273131733229,0.0245665542404342
"AT5G61120","AT5G61120",836233,"AT5G61120","zinc",-1.44539666673277,0.0245797287759955
"AT1G23560","AT1G23560",838966,"AT1G23560","OBP32pep,",-1.3360358578778,0.0245797287759955
"AT3G54050","AT3G54050",824572,"HCEF1","high",1.30461670684197,0.0245797287759955
"AT1G21360","AT1G21360",838735,"GLTP2","glycolipid",-1.49740007786223,0.0247532535458708
"AT3G17790","AT3G17790",821047,"PAP17","purple",2.19331032247684,0.0248162645071891
"AT1G29910","AT1G29910",839869,"CAB3","chlorophyll",1.44246343730856,0.0248162645071891
"AT2G12462","AT2G12462",3768692,"AT2G12462","sterile",1.21626118296602,0.0248657641480977
"AT3G24450","AT3G24450",822035,"AT3G24450","Heavy",-1.20774347174481,0.0249819332676141
"AT1G09812","AT1G09812",837512,"AT1G09812","multidrug",-1.22205259013445,0.0249819332676141
"AT5G33370","AT5G33370",833315,"AT5G33370","GDSL-like",2.19825993465318,0.0249819332676141
"AT1G64620","AT1G64620",842770,"AT1G64620","Dof-type",-1.06446374439276,0.0249819332676141
"AT2G21220","AT2G21220",816659,"AT2G21220","SAUR-like",-1.56603251093252,0.025077013208137
"AT1G58410","AT1G58410",842210,"AT1G58410","Disease",-1.13576084955256,0.025077013208137
"AT2G33175","AT2G33175",NA,"AT2G33175",NA,-1.22631408607926,0.025077013208137
"AT4G08300","AT4G08300",826384,"UMAMIT17","nodulin",-1.25339090006303,0.0252333487878548
"AT2G21140","AT2G21140",816649,"PRP2","proline-rich",2.50124872010722,0.0252333487878548
"AT2G29450","AT2G29450",817494,"GSTU5","glutathione",1.36234771572933,0.0252333487878548
"AT1G28360","AT1G28360",839732,"ERF12","ERF",-1.2055016306053,0.0252333487878548
"AT5G25980","AT5G25980",832667,"TGG2","glucoside",1.55662512060286,0.0252333487878548
"AT2G47370","AT2G47370",819350,"AT2G47370","Calcium-dependent",1.00700724097948,0.0252333487878548
"AT2G41070","AT2G41070",818706,"EEL","Basic-leucine",-1.01107960368023,0.0252333487878548
"AT3G01840","AT3G01840",820047,"LYK2","Protein",-1.06781414296524,0.0253537350422597
"AT4G22160","AT4G22160",828305,"AT4G22160","uncharacterized",-1.00189141070966,0.0253974086957044
"AT1G27940","AT1G27940",839687,"ABCB13","P-glycoprotein",2.97318768485004,0.0256584561676653
"AT3G11930","AT3G11930",820366,"AT3G11930","Adenine",2.37835331757593,0.0256584561676653
"AT2G39730","AT2G39730",818558,"RCA","rubisco",1.29083495722646,0.0256584561676653
"AT3G30340","AT3G30340",822735,"UMAMIT32","nodulin",-1.05552953665727,0.0256584561676653
"AT2G18500","AT2G18500",816365,"OFP7","ovate",-1.12235145317469,0.0256584561676653
"AT3G14210","AT3G14210",820639,"ESM1","GDSL-like",1.35703781236447,0.0256584561676653
"AT3G28345","AT3G28345",822463,"ABCB15","ABC",-1.35480484862086,0.0256584561676653
"AT2G39800","AT2G39800",818566,"P5CS1","delta1-pyrroline-5-carboxylate",1.35285387827085,0.0256584561676653
"AT1G07175","AT1G07175",6241425,"AT1G07175","alternative",-1.52855921080242,0.0256584561676653
"AT1G52910","AT1G52910",841724,"AT1G52910","fiber",1.33816938075886,0.0256584561676653
"AT2G20870","AT2G20870",816620,"AT2G20870","cell",1.9340849764511,0.0256584561676653
"AT5G57180","AT5G57180",835824,"CIA2","chloroplast",1.01270264513054,0.0256584561676653
"AT2G35700","AT2G35700",818139,"ERF38","ERF",1.89741972099439,0.0256584561676653
"AT4G00750","AT4G00750",825923,"AT4G00750","S-adenosyl-L-methionine-dependent",1.34873728656456,0.0256584561676653
"AT5G28650","AT5G28650",832971,"WRKY74","WRKY",-1.02209186962923,0.0256584561676653
"AT3G50230","AT3G50230",824185,"AT3G50230","Leucine-rich",-1.67448005311871,0.0256584561676653
"AT3G47380","AT3G47380",823892,"AT3G47380","Plant",2.7782000903222,0.0258333629770222
"AT4G02420","AT4G02420",828035,"AT4G02420","Concanavalin",1.30286179408601,0.0260616765837287
"AT3G13730","AT3G13730",820582,"CYP90D1","cytochrome",-1.18254732233478,0.0261068426954014
"AT3G13470","AT3G13470",820549,"Cpn60beta2","TCP-1/cpn60",1.09883155093178,0.0261068426954014
"AT4G08150","AT4G08150",826364,"KNAT1","homeobox",-1.23596614913515,0.0261068426954014
"AT3G45140","AT3G45140",823650,"LOX2","lipoxygenase",4.01311822490963,0.0261068426954014
"AT5G58140","AT5G58140",835926,"PHOT2","phototropin",1.0524793336232,0.0261285222242253
"AT3G14420","AT3G14420",820665,"GOX1","Aldolase-type",1.25006007783084,0.0261285222242253
"AT2G35130","AT2G35130",818079,"AT2G35130","Tetratricopeptide",1.10758189245701,0.0264239522590104
"AT3G13600","AT3G13600",820562,"AT3G13600","calmodulin-binding",1.30718616250645,0.0264252326244736
"AT5G60630","AT5G60630",836184,"AT5G60630","uncharacterized",-1.23351358521704,0.0264702861461103
"AT4G22545","AT4G22545",NA,"AT4G22545",NA,-1.01350381769678,0.0264702861461103
"AT1G62780","AT1G62780",842577,"AT1G62780","dimethylallyl,",1.38802587018709,0.0266965555050648
"AT1G58390","AT1G58390",842208,"AT1G58390","Disease",-1.30657003477002,0.0266965555050648
"AT1G49830","AT1G49830",841406,"AT1G49830","basic",-1.040832101247,0.0266965555050648
"AT1G54930","AT1G54930",841933,"AT1G54930","GRF",-1.07060297375993,0.0266965555050648
"AT2G39470","AT2G39470",818532,"PnsL1","PsbP-like",1.08507472607016,0.0266965555050648
"AT3G10570","AT3G10570",820222,"CYP77A6","cytochrome",2.01006763035223,0.0266965555050648
"AT1G04800","AT1G04800",839406,"AT1G04800","glycine-rich",3.38766275597429,0.0266965555050648
"AT5G42750","AT5G42750",834284,"BKI1","BRI1",1.33042046776392,0.0266965555050648
"AT1G06830","AT1G06830",837195,"AT1G06830","Glutaredoxin",-1.7385232698085,0.0266965555050648
"AT5G41050","AT5G41050",834107,"AT5G41050","Pollen",1.28721836794407,0.0267468701944551
"AT2G16580","AT2G16580",816158,"AT2G16580","SAUR-like",-1.2530809125149,0.0268059634159384
"AT1G04110","AT1G04110",839287,"SDD1","Subtilase",2.41321162139189,0.0268732114728395
"AT5G55720","AT5G55720",835666,"AT5G55720","Pectin",2.36644812606109,0.0268732114728395
"AT1G49310","AT1G49310",841354,"AT1G49310","uncharacterized",-1.10152602455544,0.0269194919560451
"AT1G64900","AT1G64900",842798,"CYP89A2","cytochrome",1.68209990988528,0.0269920272999214
"AT2G28610","AT2G28610",817410,"PRS","Homeodomain-like",-1.49014001408536,0.0269920272999214
"AT5G38410","AT5G38410",833828,"RBCS3B","Ribulose",1.64051471993526,0.0269920272999214
"AT5G10260","AT5G10260",830890,"RABH1e","RAB",1.69771872288106,0.0269920272999214
"AT1G61810","AT1G61810",842478,"BGLU45","beta-glucosidase",-1.74681179949029,0.0269920272999214
"ATCG00740","ATCG00740",NA,NA,NA,1.30512064120928,0.0269920272999214
"AT1G19790","AT1G19790",838567,"SRS7","SHI-related",-1.3939814820301,0.0269920272999214
"AT2G38750","AT2G38750",818457,"ANNAT4","annexin",1.30223554096868,0.0271128125198061
"AT5G21280","AT5G21280",832258,"AT5G21280","hydroxyproline-rich",1.33916899460175,0.0271128125198061
"AT5G17700","AT5G17700",831637,"AT5G17700","MATE",1.67180491612812,0.0271128125198061
"AT5G09660","AT5G09660",830825,"PMDH2","peroxisomal",1.26245584680057,0.0271128125198061
"AT5G25160","AT5G25160",832587,"ZFP3","zinc",-1.27175163709443,0.0271296112111593
"AT1G80100","AT1G80100",844350,"HP6","histidine",-1.01282676114964,0.0271296112111593
"AT5G66520","AT5G66520",836784,"AT5G66520","Tetratricopeptide",1.10064970274872,0.0271296112111593
"AT5G28300","AT5G28300",832914,"AT5G28300","Duplicated",1.01675226850942,0.0271296112111593
"AT4G12970","AT4G12970",826909,"STOMAGEN","stomagen(STOMAGEN)",1.21677701036996,0.0271296112111593
"AT2G21890","AT2G21890",816725,"CAD3","cinnamyl",-1.25075524660449,0.0271296112111593
"AT3G15840","AT3G15840",820827,"PIFI","post-illumination",1.32665150635737,0.0271296112111593
"AT2G35830","AT2G35830",818156,"AT2G35830","ureidoglycolate",1.21081487064637,0.0271296112111593
"AT3G63140","AT3G63140",825489,"CSP41A","chloroplast",1.41292320854439,0.0271296112111593
"AT1G52770","AT1G52770",841710,"AT1G52770","Phototropic-responsive",1.64523590520405,0.0271455657454262
"AT1G58460","AT1G58460",842215,"AT1G58460","uncharacterized",1.46237859378848,0.0271957213223902
"AT1G13670","AT1G13670",837928,"AT1G13670","uncharacterized",-1.15361930391103,0.0273367218083054
"AT4G28660","AT4G28660",828984,"PSB28","photosystem",1.16270280273281,0.0278867076873159
"AT3G17070","AT3G17070",820964,"AT3G17070","Peroxidase",2.37240844223624,0.0278946374343514
"AT1G13680","AT1G13680",837929,"AT1G13680","PLC-like",-1.2664450663609,0.0279871210434193
"AT5G64910","AT5G64910",836615,"AT5G64910","Serine/Threonine-kinase(AT5G64910)",-1.14637209273818,0.0282971576331699
"AT4G39970","AT4G39970",830158,"AT4G39970","Haloacid",1.01265691260903,0.0284158759862218
"AT3G24140","AT3G24140",822000,"FMA","basic",1.59358352205129,0.0284184915022926
"AT4G27260","AT4G27260",828834,"WES1","Auxin-responsive",-1.0867899659192,0.0286883098764557
"AT3G58000","AT3G58000",824969,"AT3G58000","VQ",1.47821121011303,0.0287356779558313
"AT3G01500","AT3G01500",821134,"CA1","carbonic",4.36820790910375,0.0287798753558304
"AT5G48490","AT5G48490",834905,"AT5G48490","Bifunctional",1.37518449487755,0.0289811653635995
"AT2G45570","AT2G45570",819165,"CYP76C2","cytochrome",1.4405697231264,0.0291360575277556
"AT1G54040","AT1G54040",841842,"ESP","epithiospecifier",2.34469219220156,0.0291636761348691
"AT1G15310","AT1G15310",838100,"ATHSRP54A","signal",-1.08379778660052,0.0291636761348691
"AT3G51420","AT3G51420",824305,"SSL4","strictosidine",2.01570008245252,0.0292902926969902
"AT2G23600","AT2G23600",816892,"ACL","acetone-cyanohydrin",-1.01082589332227,0.0293616473849714
"AT3G59710","AT3G59710",825140,"AT3G59710","NAD(P)-binding",1.42176358543747,0.0298157038065124
"AT1G15980","AT1G15980",838168,"PnsB1","NDH-dependent",2.50318012708104,0.0298188924274235
"AT3G47580","AT3G47580",823912,"AT3G47580","Leucine-rich",-1.06767148803666,0.0299590962603024
"AT5G62165","AT5G62165",836337,"AGL42","AGAMOUS-like",-1.16019952838968,0.0299590962603024
"AT5G47560","AT5G47560",834806,"TDT","tonoplast",1.07130117537059,0.0299590962603024
"AT5G53950","AT5G53950",835478,"CUC2","NAC",-1.0957360197605,0.0299590962603024
"AT4G13540","AT4G13540",826986,"AT4G13540","golgin",-1.01760614505565,0.0299590962603024
"AT3G51860","AT3G51860",824349,"CAX3","cation",-1.14094764171712,0.0299590962603024
"AT3G18715","AT3G18715",5008010,"IDL4",NA,-1.11582895364963,0.0299590962603024
"AT5G55220","AT5G55220",835615,"AT5G55220","trigger",1.15703249170186,0.0299590962603024
"AT2G30424","AT2G30424",6240858,"TCL2","Homeodomain-like",1.80579200917373,0.0299783415770964
